source,target,bleed_genes
Blastomeres,Blastomeres_50p_animal_pole,"['ackr3b', 'acvr1ba', 'admp', 'ahi1', 'aplnra', 'arl4ab', 'arl4d', 'baz1b', 'bmp2b', 'btg2', 'cdc14b', 'cdh1', 'cdx4', 'chrd', 'clic4', 'dact2', 'ddx4', 'dkk1b', 'drll.2', 'drll.3', 'efna1a', 'efnb2b', 'egln1b', 'elavl3', 'elf1', 'epcam', 'ets2', 'f11r.1', 'fgf8a', 'flrt3', 'fosab', 'foxa', 'foxa2', 'foxa3', 'foxb1a', 'foxd3', 'foxh1', 'foxi1', 'foxn2b', 'fscn1a', 'fzd7a', 'gata3', 'gata5', 'gmnn', 'grhl1', 'gsc', 'helb', 'her5', 'her6', 'irf2a', 'ism1', 'itm2cb', 'kazald2', 'klf2a', 'klf2b', 'krt99', 'lef1', 'lft1', 'lft2', 'lhx1a', 'lhx5', 'lratd1', 'mdm2', 'mixl1', 'mycla', 'mycn', 'nasp', 'ncapd2', 'ndr1', 'noto', 'nrarpa', 'nsd2', 'oclna', 'osr1', 'otx2a', 'pitx2', 'plekhg5b', 'prickle1b', 'rasgef1ba', 'rrbp1b', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'snai1a', 'snai2', 'sox11b', 'sox32', 'sp5l', 'stmn1a', 'tbx16l', 'tfap2a', 'tph1b', 'uncx4.1', 'vgll4l', 'wnt11f2', 'wnt8a', 'zc4h2', 'zgc:113424', 'zic2a', 'zic3']"
Blastomeres,Blastomeres_50p_sagb,"['ackr3b', 'adka', 'anp32e', 'aplnra', 'arl4d', 'baz1b', 'bmp2b', 'btg2', 'cdc14b', 'cdh1', 'cdx4', 'clic4', 'crabp2b', 'cxcr4a', 'ddx4', 'dkc1', 'dld', 'drll.2', 'drll.3', 'egln1b', 'elavl3', 'epcam', 'f11r.1', 'fosab', 'foxa', 'foxb1a', 'foxd3', 'foxd5', 'foxh1', 'foxi1', 'foxn2b', 'fscn1a', 'fzd7a', 'gata3', 'gmnn', 'gsc', 'helb', 'her5', 'irf2a', 'itm2cb', 'kazald2', 'klf2b', 'lef1', 'lhx5', 'lratd1', 'mdm2', 'mycla', 'mycn', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'otx2a', 'plekhg5b', 'rasl11b', 'rrbp1b', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'snai1a', 'snai2', 'sox11a', 'sox11b', 'sox19a', 'sox3', 'sp5l', 'stmn1a', 'tbx16l', 'tfap2a', 'tlcd5a', 'tuba8l4', 'uncx4.1', 'vgll4l', 'vrtn', 'wnt8a', 'zc4h2', 'zgc:113424', 'zic2a', 'zic2b', 'zic3']"
Blastomeres,Blastomeres_foxo3b,"['ackr3b', 'admp', 'ahi1', 'alcamb', 'aplnra', 'arl4d', 'baz1b', 'btg2', 'cdc14b', 'cdh1', 'cxcr4a', 'ddx4', 'dkc1', 'drll.2', 'drll.3', 'efnb2b', 'elavl3', 'elf1', 'epcam', 'f11r.1', 'foxa', 'foxb1a', 'foxc1a', 'foxd3', 'foxd5', 'foxh1', 'foxn2b', 'foxp2', 'fscn1a', 'gata3', 'gmnn', 'grhl1', 'gsc', 'helb', 'her5', 'her6', 'her7', 'itm2cb', 'kazald2', 'klf2a', 'klf2b', 'lhx5', 'lratd1', 'mycla', 'mycn', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'otx2a', 'prickle1b', 'rasgef1ba', 'rrbp1b', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'snai1a', 'snai2', 'sox11a', 'sox11b', 'sox3', 'sp5l', 'stmn1a', 'tfap2a', 'tuba8l4', 'uncx4.1', 'vgll4l', 'zc4h2', 'zeb2b', 'zgc:113424', 'zic2a', 'zic3', 'znf185']"
Blastomeres,Dorsal_margin_early,"['ackr3b', 'adka', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'arl4d', 'baz1b', 'btg2', 'cdc14b', 'cdh1', 'cdx4', 'cxcr4a', 'ddx4', 'dkc1', 'drll.2', 'drll.3', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'epcam', 'eppk1', 'f11r.1', 'foxh1', 'foxi1', 'foxn2b', 'fzd7a', 'gata2a', 'gata3', 'gmnn', 'grhl1', 'helb', 'her5', 'her6', 'irf2a', 'itm2cb', 'klf2a', 'krt4', 'krt8', 'lhx5', 'lratd1', 'map2k6', 'mdm2', 'mycla', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'perp', 'raraa', 'rasl11b', 'rrbp1b', 'rreb1a', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'skia', 'snai1a', 'sox11a', 'sox11b', 'sox19a', 'sp5l', 'stmn1a', 'tcf7l1b', 'tfap2a', 'tlcd5a', 'tuba8l4', 'uncx4.1', 'vgll4l', 'vox', 'wnt8a', 'zc4h2', 'zgc:113424', 'znf185']"
Blastomeres,EVL,"['acvr1ba', 'adka', 'axin2', 'btg2', 'clic4', 'crabp2b', 'ddx4', 'dld', 'efnb2a', 'eve1', 'flrt3', 'fosab', 'foxa', 'foxa2', 'foxa3', 'foxb1a', 'foxc1a', 'foxp2', 'fscn1a', 'gata5', 'gsc', 'her1', 'her7', 'irf2a', 'kazald2', 'kirrel3l', 'lef1', 'lft1', 'lhx1a', 'mixl1', 'mycn', 'ndr2', 'noto', 'osr1', 'otx2a', 'pcdh8', 'pitx2', 'pknox1.1', 'plekhg5b', 'rab11fip4a', 'rasgef1ba', 'rasl11b', 'sebox', 'si:dkey-68o6.5', 'tbx16l', 'tcf7l1a', 'tfap2c', 'tp63', 'tph1b', 'trps1', 'wnt8a', 'zic2a']"
Blastomeres,Ventral_margin_early,"['ackr3b', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'arl4d', 'baz1b', 'bmp2b', 'bmp7a', 'btg2', 'cdc14b', 'cdh1', 'crabp2b', 'cxcr4a', 'dact2', 'ddx4', 'dkc1', 'drll.3', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'epcam', 'eppk1', 'etv4', 'f11r.1', 'fosab', 'foxb1a', 'foxd3', 'foxd5', 'foxi1', 'foxn2b', 'fzd7a', 'gata2a', 'gmnn', 'grhl1', 'gsc', 'helb', 'her5', 'irf2a', 'itm2cb', 'kazald2', 'klf2a', 'klf2b', 'krt8', 'lhx5', 'lratd1', 'map2k6', 'mdm2', 'mych', 'mycla', 'mycn', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'otx2a', 'perp', 'raraa', 'rrbp1b', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'skia', 'snai1a', 'sox11a', 'sox11b', 'sp5l', 'stmn1a', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tfap2c', 'tlcd5a', 'tuba8l4', 'uncx4.1', 'vgll4l', 'zc4h2', 'zeb1a', 'znf185']"
Blastomeres_50p_animal_pole,Blastomeres,"['add3b', 'adka', 'alcamb', 'aldob', 'anp32e', 'axin2', 'bambia', 'bmp4', 'bmp7a', 'ccnf', 'crabp2b', 'cxcr4a', 'dkc1', 'dld', 'dynll1', 'efnb2a', 'epha2a', 'eppk1', 'etv4', 'eve1', 'foxc1a', 'foxd5', 'foxp2', 'gata2a', 'gata6', 'her1', 'her7', 'kirrel3l', 'klf3', 'krt18a.1', 'krt4', 'krt8', 'lamb1a', 'map2k6', 'mych', 'ndr2', 'pcdh8', 'perp', 'pknox1.1', 'rab11fip4a', 'raraa', 'rasl11b', 'rfx2', 'sebox', 'skia', 'sox11a', 'sox19a', 'sox3', 'stox1', 'tagln2', 'tbx16', 'tbxta', 'tcf7l1a', 'tcf7l1b', 'tfap2c', 'tlcd5a', 'tp63', 'trps1', 'tuba8l4', 'ved', 'vent', 'vox', 'vrtn', 'zeb1a', 'zeb2b', 'zic2b', 'znf185', 'znfl2a', 'zswim5']"
Blastomeres_50p_animal_pole,Blastomeres_50p_sagb,"['add3b', 'adka', 'aldob', 'anp32e', 'arl4d', 'bambia', 'baz1b', 'bmp4', 'btg2', 'cdh1', 'cdx4', 'clic4', 'crabp2b', 'cxcr4a', 'ddx4', 'dkc1', 'dld', 'drll.3', 'dynll1', 'efnb2a', 'epcam', 'eve1', 'f11r.1', 'foxd3', 'foxd5', 'foxh1', 'foxi1', 'foxn2b', 'fscn1a', 'fzd7a', 'gata2a', 'gmnn', 'helb', 'her1', 'her5', 'her7', 'irf2a', 'itm2cb', 'klf2b', 'mych', 'mycla', 'mycn', 'nasp', 'nrarpa', 'oclna', 'otx2a', 'rasl11b', 'rrbp1b', 'si:dkey-68o6.5', 'snai1a', 'snai2', 'sox11a', 'sox11b', 'sox19a', 'sox3', 'sp5l', 'stmn1a', 'tfap2a', 'tfap2c', 'tlcd5a', 'tuba8l4', 'ved', 'vox', 'vrtn', 'zc4h2', 'zgc:113424', 'zic2b', 'zic3', 'znfl2a']"
Blastomeres_50p_animal_pole,Blastomeres_foxo3b,"['add3b', 'adka', 'admp', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'bambia', 'baz1b', 'bmp4', 'cxcr4a', 'dkc1', 'dld', 'drll.2', 'drll.3', 'efnb2a', 'elf1', 'epha2a', 'etv4', 'foxb1a', 'foxc1a', 'foxd3', 'foxd5', 'foxh1', 'foxp2', 'grhl1', 'helb', 'her1', 'her5', 'her6', 'her7', 'itm2cb', 'kazald2', 'klf2a', 'klf2b', 'krt4', 'lamb1a', 'mych', 'mycla', 'mycn', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'pknox1.1', 'raraa', 'rasgef1ba', 'rreb1a', 'si:ch211-106e7.2', 'skia', 'snai1a', 'sox11a', 'sox11b', 'sox19a', 'sox3', 'sp5l', 'stmn1a', 'stox1', 'tbx16', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tlcd5a', 'tp63', 'trps1', 'tuba8l4', 'uncx4.1', 'ved', 'vox', 'vrtn', 'zc4h2', 'zeb1a', 'zeb2b', 'zgc:113424', 'zic2a', 'zic2b', 'zic3', 'znf185', 'znfl2a']"
Blastomeres_50p_animal_pole,Dorsal_margin_early,"['ackr3b', 'add3b', 'adka', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'arl4d', 'baz1b', 'bmp4', 'btg2', 'ccnf', 'cdc14b', 'cdh1', 'cdx4', 'cxcr4a', 'dkc1', 'drll.3', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'epcam', 'eppk1', 'etv4', 'eve1', 'f11r.1', 'foxh1', 'foxi1', 'foxn2b', 'fzd7a', 'gata2a', 'gmnn', 'grhl1', 'helb', 'her5', 'her7', 'irf2a', 'itm2cb', 'kazald2', 'klf2a', 'krt4', 'krt8', 'lamb1a', 'lhx5', 'map2k6', 'mdm2', 'mycla', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'perp', 'raraa', 'rasl11b', 'rrbp1b', 'rreb1a', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'skia', 'sox11a', 'sox11b', 'sox19a', 'sp5l', 'stmn1a', 'stox1', 'tagln2', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tlcd5a', 'tp63', 'trps1', 'tuba8l4', 'vgll4l', 'vox', 'zc4h2', 'zeb1a', 'zeb2b', 'zgc:113424', 'zic2b', 'znf185', 'znfl2a']"
