source,target,bleed_genes
Cephalic mesoderm,Definitive endoderm late,"['adka', 'admp', 'ahi1', 'anp32e', 'aplnrb', 'arf5', 'arhgap5', 'arl4aa', 'arl6ip5a', 'aspm', 'atf6', 'bach1b', 'baz1b', 'bhlha15', 'bmp2b', 'btg2', 'c1qbp', 'cbx3a', 'cbx5', 'ccnf', 'cd63', 'cdc14b', 'cdca8', 'cdt1', 'chaf1a', 'chst11', 'clic4', 'creb3l1', 'creb3l2', 'csrp1a', 'ctcf', 'dact2', 'dbx1a', 'dkc1', 'dkk1b', 'dlgap5', 'dlx3b', 'drll.2', 'efemp2b', 'efnb2b', 'egln1b', 'elob', 'emx3', 'ephb3a', 'erf', 'fezf2', 'fgf8a', 'flrt3', 'fn1a', 'foxd3', 'foxn2b', 'foxp1b', 'fscn1a', 'fzd7a', 'fzd7b', 'gli1', 'gli2a', 'gmnn', 'grhl1', 'gsc', 'hdlbpa', 'her8a', 'hivep2a', 'hsp90aa1.2', 'irx5a', 'irx7', 'ism1', 'itgb5', 'jcada', 'kazald2', 'kirrel3l', 'krt99', 'lamb1a', 'lbx2', 'lgals3b', 'lhfpl6', 'lmo2', 'lmo4a', 'mab21l2', 'map2k6', 'meis2a', 'meox1', 'mibp2', 'mych', 'myclb', 'mycn', 'nap1l1', 'nasp', 'ncapd2', 'nop58', 'noto', 'nr2f2', 'nr6a1a', 'nsd2', 'ntd5', 'osr1', 'otx1', 'otx2a', 'pax3a', 'pax6b', 'pbx4', 'pcdh10b', 'pdap1a', 'pitx2', 'plagl2', 'pmp22b', 'pold3', 'prmt1', 'ptp4a2b', 'rasgef1ba', 'rbbp4', 'rbmx', 'rcc1', 'rhov', 'rnd1b', 'rpl19', 'rpl38', 'rpl4', 'rplp2l', 'rrbp1b', 'sall3b', 'shha', 'si:ch211-113a14.12', 'si:ch211-113a14.18', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six3b', 'six4a', 'six4b', 'skia', 'smtnl', 'sox10', 'sox11a', 'sox19a', 'sox5', 'spon1b', 'srrm4', 'stmn1a', 'supt16h', 'tbx1', 'tbx3b', 'tcf3b', 'tcf7l1a', 'tcf7l1b', 'tcf7l2', 'tdgf1', 'tfap2a', 'tfap2c', 'tlcd5a', 'tmed10', 'tpx2', 'tram1', 'trps1', 'tuba1a', 'tuba8l2', 'uhrf1', 'unga', 'vrtn', 'xbp1', 'zbtb18', 'zc4h2', 'zeb1a', 'zeb1b', 'zeb2a', 'zgc:174154', 'zic2a', 'zic2b', 'zic3', 'znf576.2']"
Cephalic mesoderm,Epidermal ectoderm,"['C7H16orf87', 'acvr1ba', 'adka', 'admp', 'ahi1', 'akap12b', 'aldob', 'aplnrb', 'arf5', 'arhgap5', 'arl4aa', 'arl4ab', 'arl6ip5a', 'aspm', 'atf6', 'bach1b', 'baz1b', 'bhlha15', 'c1qbp', 'cbx3a', 'cbx5', 'ccnf', 'cd63', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cdh6', 'cdt1', 'chaf1a', 'chrd', 'chst11', 'creb3l2', 'cux1a', 'dkc1', 'dlgap5', 'dnmt3bb.2', 'drll.2', 'ednraa', 'efnb2a', 'efnb2b', 'epha2a', 'etv5b', 'fbln2', 'fgf8a', 'fn1b', 'foxa', 'foxa3', 'foxd3', 'foxh1', 'foxn2b', 'foxo1a', 'fzd7a', 'fzd7b', 'fzd8a', 'gata5', 'gata6', 'gfi1aa', 'gmnn', 'gsc', 'her3', 'her5', 'her7', 'hoxb1b', 'hsp90aa1.2', 'id3', 'irx3a', 'ism1', 'itgb5', 'itm2cb', 'jcada', 'kazald2', 'kirrel3l', 'klf8', 'lamb1a', 'lbx2', 'lft1', 'lmo2', 'lmo4a', 'mab21l2', 'map2k6', 'mibp2', 'mns1', 'myf5', 'myod1', 'nap1l1', 'nasp', 'ncapd2', 'ndr2', 'nop58', 'nr6a1a', 'nsd2', 'olig4', 'otx1', 'otx2a', 'otx2b', 'pax2a', 'pbx4', 'pdap1a', 'pitx2', 'plagl2', 'pmp22b', 'pold3', 'prickle1b', 'prmt1', 'rab11fip4a', 'raraa', 'rbbp4', 'rbmx', 'rcc1', 'rhov', 'rnd1b', 'rpl38', 'rpl4', 'rplp2l', 'rrbp1b', 'rx3', 'rxrgb', 'shha', 'si:ch211-113a14.12', 'si:ch211-113a14.18', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six4b', 'six7', 'skia', 'snai1a', 'sox10', 'sox11b', 'stmn1a', 'supt16h', 'tbx16l', 'tbx3b', 'tbxta', 'tbxtb', 'tcf3b', 'tcf7l1a', 'tcf7l2', 'tdgf1', 'tead1a', 'tgif1', 'tpx2', 'tram1', 'trps1', 'uhrf1', 'unga', 'wnt8a', 'zbtb18', 'zc4h2', 'zeb1a', 'zeb2a', 'zeb2b', 'zgc:174154', 'zic3', 'znf576.2', 'zswim5']"
Cephalic mesoderm,Forebrain ventral,"['akap12b', 'aplnrb', 'arf5', 'arhgap5', 'arl4aa', 'arl4ab', 'arl4d', 'atf6', 'axin2', 'bach1b', 'bambia', 'bmp4', 'ccnf', 'cd63', 'cdc14b', 'cdc42ep4a', 'cdt1', 'cfl1l', 'creb3l1', 'creb3l2', 'cux1a', 'dact2', 'dkk1b', 'dlx3b', 'drll.2', 'ednraa', 'elob', 'erf', 'esrra', 'ets2', 'etv4', 'eve1', 'f11r.1', 'fbln2', 'fgf8a', 'foxa3', 'foxi1', 'foxp1b', 'foxp2', 'fscn1a', 'fzd7a', 'fzd7b', 'gata3', 'gbx1', 'gli1', 'gli2a', 'gsc', 'hdlbpa', 'her7', 'hivep2a', 'hoxb7a', 'hoxb8a', 'hoxb9a', 'hoxc3a', 'hoxc6a', 'hoxc8a', 'id3', 'irx7', 'ism1', 'itgb5', 'jcada', 'kazald2', 'kirrel3l', 'klf17', 'klf8', 'krt8', 'lamc1', 'lgals3b', 'lmo2', 'mab21l2', 'msgn1', 'myf5', 'myod1', 'ncapd2', 'nog1', 'nr2f2', 'ntd5', 'olig4', 'otx2a', 'pbx4', 'pitx2', 'plagl2', 'pmp22b', 'prdm1a', 'ptp4a2b', 'rasgef1ba', 'rbmx', 'rrbp1b', 'rreb1a', 'smtnl', 'sp5l', 'sp8b', 'stmn1a', 'szl', 'tagln2', 'tbx16l', 'tbx3b', 'tbxtb', 'tcf7', 'tfap2c', 'tlcd5a', 'tmed10', 'tram1', 'tshz3b', 'twist2', 'ved', 'vent', 'wnt8a', 'xbp1', 'zeb1a', 'zic2b', 'znf185', 'znfl2a']"
Cephalic mesoderm,Haematoendothelial progenitors,"['C7H16orf87', 'ackr3b', 'acvr1ba', 'ahi1', 'akap12b', 'arf5', 'arl4aa', 'arl4ab', 'arl6ip5a', 'atf6', 'atp2b1a', 'axin2', 'bach1b', 'bcl2l1', 'bmp2b', 'c1qbp', 'cbx3a', 'cbx5', 'ccnf', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cdkn1ca', 'cdt1', 'chaf1a', 'creb3l2', 'csrp1a', 'dact2', 'dlx3b', 'ednraa', 'efemp2b', 'emx2', 'epcam', 'epha2a', 'ephb3a', 'eppk1', 'erf', 'etv4', 'etv5b', 'fbln2', 'fgf8a', 'flrt3', 'foxa', 'foxa2', 'foxa3', 'foxi1', 'foxo1a', 'foxp2', 'fzd7a', 'fzd7b', 'gli2a', 'gmnn', 'hdlbpa', 'her5', 'her6', 'id3', 'ism1', 'itgb5', 'kazald2', 'klf2b', 'klf8', 'krt18a.1', 'krt8', 'lamb1a', 'lamc1', 'lamp2', 'lgals3b', 'map2k6', 'mef2d', 'meox1', 'myf5', 'myod1', 'nap1l1', 'nasp', 'ndr2', 'noto', 'nr6a1a', 'nsd2', 'otx2a', 'pax6a', 'pbx4', 'perp', 'pitx2', 'pold3', 'rasl11b', 'rbbp4', 'rbmx', 'rcc1', 'rfx2', 'rxrgb', 'sdc4', 'shha', 'six3b', 'six4a', 'skia', 'smtnl', 'sox10', 'sox5', 'sp5l', 'sp8b', 'spon1b', 'srrm4', 'supt16h', 'tbx1', 'tbx3b', 'tcf7l1b', 'tcf7l2', 'tdgf1', 'tead1a', 'tfap2c', 'tgif1', 'tlcd5a', 'tmed10', 'tram1', 'tshz3b', 'uhrf1', 'unga', 'xbp1', 'zbtb18', 'zeb1a', 'zgc:174154', 'znf185', 'zswim5']"
Cephalic mesoderm,Heart field,"['C7H16orf87', 'ackr3b', 'acvr1ba', 'admp', 'ahi1', 'akap12b', 'aldob', 'aplnrb', 'arf5', 'arl4aa', 'arl6ip5a', 'atf6', 'bach1b', 'bhlha15', 'bmp2b', 'btg2', 'cbx3a', 'cd63', 'cdc14b', 'cdc42ep4a', 'cdkn1ca', 'cdt1', 'cfl1l', 'chst11', 'clic4', 'creb3l2', 'csrp1a', 'cxcr4a', 'dact2', 'dkc1', 'dkk1b', 'dld', 'dmd', 'drll.2', 'efnb2b', 'emx3', 'epcam', 'epha2a', 'etv5b', 'f11r.1', 'fezf2', 'fgf8a', 'foxa', 'foxa2', 'foxa3', 'foxd3', 'foxg1a', 'foxi1', 'foxo1a', 'fscn1a', 'fzd7b', 'gli2a', 'grhl1', 'gsc', 'hdlbpa', 'her3', 'her5', 'her6', 'her7', 'hivep2a', 'irx3a', 'ism1', 'itga6a', 'jcada', 'kazald2', 'klf17', 'klf2a', 'klf2b', 'klf3', 'klf7a', 'klf8', 'lamb1a', 'lamc1', 'lamp2', 'lft1', 'lima1a', 'lmo4a', 'mab21l2', 'mibp2', 'mych', 'myf5', 'myod1', 'nap1l1', 'ncapd2', 'ndr2', 'nkx2.2a', 'nog1', 'nop58', 'noto', 'nr2f2', 'nr6a1a', 'nrarpa', 'oclna', 'osr1', 'pax6a', 'pbx1b', 'plagl2', 'pmp22b', 'prdm1a', 'prickle1b', 'rasl11b', 'rbmx', 'rcc1', 'rhov', 'rpl38', 'rpl4', 'rplp2l', 'rrbp1b', 'rx3', 'rxraa', 'rxrgb', 'sdc4', 'shha', 'six3b', 'skia', 'snai1a', 'sox10', 'sox3', 'srrm4', 'stox1', 'tagln2', 'tbx16l', 'tbx3b', 'tbxta', 'tbxtb', 'tcf3b', 'tcf7l1b', 'tcf7l2', 'tead1a', 'tfap2a', 'tgif1', 'tlcd5a', 'tmed10', 'tp63', 'tpx2', 'tram1', 'trps1', 'tuba8l2', 'twist2', 'vgll4l', 'vrtn', 'wnt8a', 'xbp1', 'zbtb18', 'zeb2a', 'zeb2b', 'zgc:174154', 'znf576.2', 'zswim5']"
Cephalic mesoderm,Hindbrain 1,"['C7H16orf87', 'acvr1ba', 'admp', 'ahi1', 'akap12b', 'aplnrb', 'apoc1', 'arf5', 'arhgap5', 'arl4aa', 'arl4ab', 'arl4d', 'atf6', 'bach1b', 'bambia', 'bhlha15', 'bmp4', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cdx4', 'cfl1l', 'chst11', 'csrp1a', 'cux1a', 'cxcr4a', 'dlx3b', 'drll.2', 'ednraa', 'efna1a', 'elob', 'epcam', 'ephb3a', 'erf', 'esrra', 'etv5a', 'f11r.1', 'fn1b', 'foxa', 'foxd5', 'foxi1', 'foxp2', 'fscn1a', 'fzd7a', 'gata3', 'gli1', 'grhl1', 'gsc', 'hdlbpa', 'her5', 'hivep2a', 'hoxb8a', 'hoxc3a', 'hoxc6a', 'irx5a', 'ism1', 'itgb5', 'jcada', 'klf17', 'klf3', 'klf8', 'lft1', 'lgals3b', 'meis2a', 'msgn1', 'myf5', 'myod1', 'ndr2', 'otx2a', 'pbx4', 'pcdh8', 'pitx2', 'prox1a', 'ptp4a2b', 'rreb1a', 'shha', 'skia', 'smtnl', 'sp5l', 'srrm4', 'stmn1a', 'szl', 'tbx16l', 'tbx3b', 'tbxta', 'tbxtb', 'tcf7l1a', 'tcf7l1b', 'tdgf1', 'tfap2c', 'tgif1', 'tlcd5a', 'tpx2', 'tram1', 'twist2', 'ved', 'vgll4l', 'wnt8a']"
Cephalic mesoderm,Hindbrain 2,"['ahi1', 'akap12b', 'aplnrb', 'apoc1', 'arf5', 'arhgap5', 'arl4aa', 'atf6', 'bambia', 'bhlha15', 'bmp4', 'bmp7a', 'btg2', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cfl1l', 'creb3l1', 'csrp1a', 'cux1a', 'cxcr4a', 'dact2', 'drll.2', 'ednraa', 'emx2', 'ephb3a', 'erf', 'f11r.1', 'fgf8a', 'fn1b', 'foxa', 'foxa2', 'foxd3', 'foxd5', 'foxn2b', 'foxp1b', 'foxp2', 'fscn1a', 'fzd7a', 'fzd7b', 'fzd8a', 'gata3', 'gfi1aa', 'gli2a', 'grhl1', 'gsc', 'hdlbpa', 'her5', 'her7', 'hivep2a', 'itgb5', 'jcada', 'kirrel3l', 'klf17', 'klf2a', 'klf3', 'lef1', 'lft1', 'lgals3b', 'lhx5', 'mab21l2', 'msgn1', 'myod1', 'ndr2', 'nr2f2', 'pbx4', 'pitx2', 'prox1a', 'ptp4a2b', 'rreb1a', 'shha', 'si:ch211-106e7.2', 'skia', 'smtnl', 'sox10', 'sox5', 'srrm4', 'stmn1a', 'szl', 'tbx16l', 'tbx3b', 'tbxta', 'tbxtb', 'tcf3b', 'tcf7l2', 'tdgf1', 'tfap2a', 'tfap2c', 'tgif1', 'tlcd5a', 'tram1', 'twist2', 'unc5b', 'uncx4.1', 'ved', 'vrtn', 'wnt8a']"
Cephalic mesoderm,Intermediate mesoderm,"['C7H16orf87', 'acvr1ba', 'admp', 'ahi1', 'akap12b', 'aldob', 'arf5', 'arl4aa', 'arl6ip5a', 'atf6', 'bhlha15', 'bmp2b', 'cd63', 'cdc14b', 'cdc42ep4a', 'cdkn1ca', 'cdt1', 'cfl1l', 'chst11', 'creb3l2', 'csrp1a', 'cxcr4a', 'dact2', 'dlx3b', 'dync1li1', 'efna1a', 'emx3', 'epcam', 'epha2a', 'etv4', 'etv5a', 'fbln2', 'fezf2', 'fgf8a', 'flrt3', 'fn1a', 'foxa', 'foxa3', 'foxd3', 'foxd5', 'foxg1a', 'foxh1', 'foxi1', 'foxo1a', 'fzd7b', 'fzd8a', 'gata6', 'gli2a', 'grhl1', 'gsc', 'hdlbpa', 'her3', 'her5', 'her8a', 'hivep2a', 'hsp90aa1.2', 'ism1', 'itgb5', 'kazald2', 'kirrel3l', 'klf2a', 'klf2b', 'klf8', 'krt18a.1', 'krt8', 'lamb1a', 'lamc1', 'lft1', 'lgals3b', 'mab21l2', 'meis1b', 'myod1', 'ndr2', 'noto', 'nr6a1a', 'osr1', 'pax6a', 'pax6b', 'pbx4', 'pmp22b', 'prdm1a', 'rasl11b', 'ripply1', 'rrbp1b', 'rxrgb', 'sdc4', 'shha', 'smtnl', 'sox11a', 'sp8b', 'srrm4', 'tbx3b', 'tcf7l2', 'tdgf1', 'tead1a', 'tfap2c', 'tmed10', 'tp63', 'tram1', 'unc5b', 'uncx4.1', 'vrtn', 'zbtb18', 'zeb1a', 'zeb1b', 'zeb2a', 'zeb2b', 'zgc:174154', 'zic3', 'znf185']"
Cephalic mesoderm,Midbrain,"['acvr1ba', 'admp', 'ahi1', 'akap12b', 'aplnrb', 'apoc1', 'arf5', 'arhgap5', 'arl4aa', 'arl4d', 'bambia', 'bcl2l1', 'bmp4', 'bmp7a', 'btg2', 'cd63', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cdx4', 'cfl1l', 'chst11', 'csrp1a', 'cux1a', 'cxcr4a', 'dbx1a', 'dkk1b', 'dlx3b', 'drll.2', 'ednraa', 'efna1a', 'elob', 'epcam', 'ephb3a', 'erf', 'esrra', 'etv4', 'etv5a', 'f11r.1', 'fgf8a', 'flrt3', 'foxp2', 'fscn1a', 'gata3', 'gfi1aa', 'gli1', 'gsc', 'hdlbpa', 'her7', 'hivep2a', 'hoxb8a', 'hoxb9a', 'hoxc3a', 'hoxc6a', 'hoxc8a', 'irx3a', 'irx5a', 'ism1', 'itgb5', 'jcada', 'klf17', 'klf3', 'lft1', 'lgals3b', 'msgn1', 'myf5', 'myod1', 'ndr2', 'pitx2', 'prox1a', 'ptp4a2b', 'rreb1a', 'rxrgb', 'six7', 'smtnl', 'srrm4', 'stmn1a', 'szl', 'tbx16l', 'tbx3b', 'tbxta', 'tcf7l1a', 'tcf7l1b', 'tdgf1', 'tfap2c', 'tgif1', 'tlcd5a', 'tram1', 'ved', 'wnt8a', 'zbtb18', 'zfand5a', 'zgc:174154']"
Cephalic mesoderm,Midbrain hindbrain boundary 2,"['acvr1ba', 'admp', 'ahi1', 'akap12b', 'aplnrb', 'apoc1', 'arf5', 'arhgap5', 'arl4aa', 'arl4d', 'bambia', 'bhlha15', 'bmp4', 'bmp7a', 'btg2', 'cdc14b', 'cdc42ep4a', 'cdca8', 'cdx4', 'cfl1l', 'chst11', 'csrp1a', 'cux1a', 'cxcr4a', 'dbx1a', 'dkk1b', 'dlx3b', 'drll.2', 'ednraa', 'efna1a', 'efnb2a', 'emx2', 'ephb3a', 'erf', 'esrra', 'ets2', 'etv5a', 'f11r.1', 'fn1b', 'foxd3', 'foxd5', 'foxp1b', 'foxp2', 'fscn1a', 'fzd7a', 'fzd7b', 'gata3', 'gbx1', 'gfi1aa', 'grhl1', 'gsc', 'hdlbpa', 'her7', 'hivep2a', 'hoxb8a', 'hoxb9a', 'hoxc6a', 'irx3a', 'irx5a', 'ism1', 'itgb5', 'jcada', 'klf17', 'klf3', 'klf8', 'lft1', 'lgals3b', 'msgn1', 'myclb', 'myf5', 'ndr2', 'nkx2.2a', 'olig4', 'otx2b', 'pbx4', 'pitx2', 'prox1a', 'ptp4a2b', 'rreb1a', 'rxrgb', 'shha', 'six7', 'smtnl', 'sp5l', 'srrm4', 'stmn1a', 'szl', 'tbx16l', 'tbx3b', 'tbxta', 'tbxtb', 'tcf3b', 'tcf7l1a', 'tcf7l2', 'tfap2a', 'tfap2c', 'tgif1', 'tlcd5a', 'tmed10', 'tram1', 'twist2', 'ved', 'vrtn', 'wnt8a', 'zbtb18', 'zgc:174154', 'znf185']"
