timepoint,common_gene_filtered,sc_filtered,cell cycle filtered,deg_hvg_filtered,st_filtered,final_excluded
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,True,True,False,True
50%,False,False,False,False,False,False
50%,True,True,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,True,True,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,True,False,True
50%,False,False,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,True,False,True
50%,False,False,False,False,True,True
50%,True,True,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,True,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,True,False,True
50%,False,False,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,True,True,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,True,True,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,True,True,False,True,False,True
50%,False,False,False,False,False,False
50%,True,True,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,True,True,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,True,False,True
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,True,False,True
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,False,True,True
50%,False,False,False,False,False,False
50%,False,False,False,False,False,False
50%,False,False,False,True,False,True
50%,True,True,False,True,False,True
50%,True,True,False,True,False,True
50%,False,False,False,False,False,False
